SetPoint: 1  Speed: 4808  Error: 0  Integral Component: 0  Control Voltage: 0
SetPoint: 1  Speed: 517  Error: -516  Integral Component: -145.008  Control Voltage: 5
SetPoint: 1  Speed: 394  Error: -393  Integral Component: -281.729  Control Voltage: 5
SetPoint: 1  Speed: 349  Error: -348  Integral Component: -425.71  Control Voltage: 5
SetPoint: 1  Speed: 341  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: 323  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: 282  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: 234  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: 197  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: 158  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: 131  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: 101  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: 75  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: 58  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: 37  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: 30  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: 6  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: -2  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: -6  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: -20  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: -33  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: -40  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: -51  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: -61  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: -67  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: -75  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: -84  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: -88  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: -95  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: -102  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: -106  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: -112  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: -113  Error: -340  Integral Component: -588.606  Control Voltage: -5
SetPoint: 1  Speed: -113  Error: -340  Integral Component: -588.606  Control Voltage: -5
